español,francés,catalán,inglés
"el seɲoɾ i la seɲoɾa ðuɾslej, ke Biβian en el numeɾo kwatɾo ðe pɾiβet ðɾajf, estaβan oɾguʝosos ðe ðeθiɾ ke eɾan mwi noɾmales, afoɾtunaðamente","mɾe mɾ dyɾslɛi, ki abitɛt‿ o 4, pɾive dɾivə, ave tuʒuɾz‿ afiɾme avɛk la ply gɾɑ̃də fjɛɾte kilz‿ ete paɾfɛtəmə nɔɾmo, mɛɾsi puɾ ø.","əl səɲo i lə səɲoɾə tuɾslej, təl kəre pɾibɛd numəɾu kwatɾə, əstabən mol uɾguʎozus tə pudɛ ti kə eɾən ʒen pəɾfektəmen nuɾmal, gɾasiəz ə tew",
"eɾan las ultimas peɾsonas ke se espeɾaɾia enkontɾaɾ relaθjonaðas kon algo ekstɾaɲo o misteɾjoso, poɾke no estaβam paɾa tales tonteɾias",ʒame kikõkə nɔɾɛt‿ imaʒine kil pɥisə sə tɾuve ɛ̃plike dɑ̃ kwa kə sə swa detɾɑ̃ʒ u də misteɾjø. il nave pa də tɑ̃z‿ a pɛɾdɾ avɛkde sɔɾnɛtə.,"eɾən ləz ultiməs pəɾsonəs kə un əspəɾəɾiə pewɾə fikaðəz ən rɛs təstɾaɲ ɔ mistəɾios, simpləmen pəɾkɛ no supuɾtabən ləs ʃimpləɾiəs",
"el seɲoɾ ðuɾslej eɾa el ðiɾektoɾ ðe una empɾesa ʝamaða ɣɾunings, ke faβɾikaβa talaðɾos","mɾ dyɾslɛi diɾiʒɛe la gɾynɛ̃, yn ɑ̃tɾɛpɾizə ki fabɾikede pɛɾsøzə.","əl səɲo tuɾslej eɾə tiɾəkto tunə faβɾikə ənumənaðə gɾuninks, kə fɛjə bɾɔkəs",
"eɾa un ombɾe koɾpulento i roʝiθo, kasi sin kweʝo, awnke kon un Biɣote inmenso","setɛt‿ œ̃ ɔmə gɾɑ̃d‿e masif, ki nave pɾatikəmə pa də ku, me pɔsedɛt‿ɑ̃ ɾəvɑ̃ʃ ynə mustaʃə də bɛlə tajə.","eɾə un ɔmə gɾɔz i fɔɾt kə kəjɾəβe no təniə kɔʎ, pəɾɔ kə ʎuiə un pigɔti ənoɾmə",
"la seɲoɾa ðuɾslej eɾa ðelgaða, ruβja i tenia un kweʝo kasi el ðoβle ðe laɾgo ðe lo aβitwal, lo ke le resultaβa mwi util, ʝa ke pasaβa la maʝoɾ paɾte ðel tjempo estiɾandolo poɾ enθima ðe la Baʝa ðe los xaɾdines paɾa espjaɾ a sus Beθinos","mɾ dyɾslɛi, kɑ̃t‿ a ɛlə, ete mɛ̃se blõde dispoze dœ̃ ku dø fwa ply lõ kə la mwajɛnə, sə ki lɥi ete fɔɾt‿ ytilə puɾ ɛspjɔnese vwazɛ̃z‿ɑ̃ ɾəgaɾdɑ̃ paɾdəsyle klotyɾəde ʒaɾdɛ̃.","lə səɲoɾə tuɾslej eɾə pɾimə, rɔsə, i si fa no fa təniə əl kɔʎ əl toblə tə ʎaɾk təl kə ez əβitual, lə kwal kɔzə li rəzultabə mol pɾaktikə ə lɔɾə tə pəsaɾsə əl tiə əspian əls pəins pəɾ sobɾə tə ləs tankəs",
"los ðuɾslej tenian un ixo pekeɲo ʝamaðo ðudlej, i paɾa eʝos no aβia un niɲo mexoɾ ke el",le dyɾslɛi avɛt‿ œ̃ pəti gaɾsõ pɾenɔme dydlɛie setɛt‿ a lœɾz‿ jø lə ply bɛl ɑ̃fɑ̃ dy mõdə.,"əls tuɾslej təniən un nɛn pətit kə əs tɛjə tudlej, i kə, səgonz eʎs, eɾə əl nɛn mez ənkəntədo təl mon",
"los ðuɾslej tenian toðo lo ke keɾian, peɾo tambjen tenian un sekɾeto, i su maʝoɾ temoɾ eɾa ke lo ðeskuβɾjesen, no aβɾian sopoɾtaðo ke se supjeɾa lo ðe los poteɾ","le dyɾslɛi ave tu sə kil vule. la sœlə ʃoz ɛ̃deziɾablə kil pɔsede, setɛt‿ œ̃e dõt‿ il kɾɛɲe ply kə tu kõ lə dekuvɾ œ̃ ʒuɾ. si ʒame kikõkə vənɛt‿ a ɑ̃tɑ̃dɾə paɾlede pɔte, ilz‿ ete kõvɛ̃ky kil nə sɑ̃ ɾəmɛtɾe pa.","əls tuɾslej təniən tot əl kə təzitʒabən, pəɾɔ ə mes təmbe təniən un səkɾet, i əl kə əls fɛjə mes po eɾə kə əlgu əl təskuβɾis, kɾɛjən kə no puðɾiən supuɾta kə əlgu səsəβəntes tə ləksistɛnsiə təls pute",
"la seɲoɾa poteɾ eɾa eɾmana ðe la seɲoɾa ðuɾslej, peɾo no se Beian ðesde aθia aɲos, tanto eɾa asi ke la seɲoɾa ðuɾslej finxia ke no tenia eɾmana, poɾke su eɾmana i su maɾiðo, un kompleto inutil, eɾan lo mas opwesto a los ðuɾslej ke se puðjeɾa imaxinaɾ","mɾ pɔte ete la sœɾ də mɾ dyɾslɛi, me tutə dø nə sete ply ɾəvœ dəpɥidez‿ aneə.ɑ̃ fe, mɾ dyɾslɛi fəze kɔmə si ɛl ete fij ynikə, kaɾ sa sœɾe sõ bõn‿ a ɾjɛ̃ də maɾi etɛt‿ osi elwaɲe kə pɔsiblə də tu sə ki fəzɛt‿ œ̃ dyɾslɛi.","lə səɲoɾə pute eɾə ʒəɾmanə tə lə səɲoɾə tuɾslej, pəɾɔ no əs pɛjən tes tə fɛjə aɲs, tə fet, lə səɲoɾə tuɾslej fɛjə pewɾə kə no təniə ʒəɾmanə, pəɾkɛ lə sebə ʒəɾmanə i linutil təl sew məɾið eɾən pen tifəɾens təls tuɾslej",
los ðuɾslej se estɾemeθian al pensaɾ ke ðiɾian los Beθinos si los poteɾ apaɾeθjesem poɾ la aθeɾa,le dyɾslɛi tɾɑ̃ble depuvɑ̃t a la pɑ̃seə də sə kə diɾele vwazɛ̃ si paɾ malœɾle pɔte sə mõtɾe dɑ̃ lœɾ ɾɥə.,əls tuɾslej tɾəmulabən numes tə pənsa kɛ tiɾiən əls pəins si əls pute ənesin un tiə ə kazə sebə,
"saβian ke los poteɾ tambjen tenian un ixo pekeɲo, peɾo nunka lo aβian Bisto","il save kəle pɔte, øx‿ osi, avɛt‿ œ̃ pəti gaɾsõ, mɛz‿ il nə lave ʒame vy.","əls tuɾslej səβiən kə əls pute təmbe təniən un nɛn pətit, pəɾɔ no ləβiən pisd maj",
"el niɲo eɾa otɾa Bwena raθom paɾa manteneɾ alexaðos a los poteɾ, no keɾian ke ðudlej se xuntaɾa kon un niɲo komo akel",sõn‿ ɛgzistɑ̃sə kõstitɥɛt‿ ynə ɾɛzõ syplemɑ̃tɛɾə də təniɾle pɔte a distɑ̃sɛ: il nete pa kɛssjõ kə lə pəti dydlɛi sə mɛt a fɾekɑ̃te œ̃n‿ ɑ̃fɑ̃ kɔmə səlɥi-la.,"əkɛd nɛn eɾə unə altɾə pɔnə rəo pəɾ məntəniɾsə əʎuɲats təls pute, no puliən kə əl tudlej əs fez am un nɛn kɔm əkɛʎ",
"nwestɾa istoɾja komjenθa kwando el seɲoɾ i la seɲoɾa ðuɾslej se ðespeɾtaɾon un maɾtes, kon un θjelo kuβjeɾto ðe nuβes Gɾises ke amenaθaβan toɾmenta, peɾo naða aβia en akel nuβlaðo θjelo ke suxiɾjeɾa los akonteθimjentos ekstɾaɲos i misteɾjosos ke poko ðespwes tendɾian luɣaɾ en toða la rexjon","lɔɾskə mɾe mɾ dyɾslɛi sevɛjɛɾə, o matɛ̃ dy maɾdi u kɔmɑ̃sə sɛtə istwaɾə, il fəze gɾiz‿e tɾiste ɾjɛ̃ dɑ̃ lə sjɛl nɥaʒø nə l(e)se pɾevwaɾ kəde ʃozəz‿ etɾɑ̃ʒəz‿e misteɾjøzəz‿ ale bjɑ̃to sə pɾɔdɥiɾə dɑ̃ tu ləpei.","kwan əl səɲo i lə səɲoɾə tuɾslej əs pan əʃəka əl timaɾs gɾiz i tɾist ən kɛ kumɛnsə lə nɔstɾə istɔɾiə, no i əβiə rɛz əl sɛl ənubulat kə puges fe pənsa kə mol əβiat suksəjɾiən kɔzəz əstɾaɲəz i mistəɾiozəs pəɾ tot əl pəis",
"el seɲoɾ ðuɾslej kantureaβa mjentɾas se ponia su koɾbata mas sosa paɾa iɾ al tɾaβaxo, i la seɲoɾa ðuɾslej paɾloteaβa aleɣɾemente mjentɾas instalaβa al rwiðoso ðudlej en la siʝa alta",mɾ dyɾslɛi fɾədɔnɛt‿ œ̃n‿ ɛɾɑ̃ nwɑ̃ sa kɾavatə la ply sinistɾə puɾ ale tɾavajee mɾ dyɾslɛi ɾakõte dœ̃ tõ badɛ̃le dɛɾnje pɔtɛ̃ dy kaɾtjeɑ̃ sɛfɔɾsɑ̃ dɛ̃stale syɾ sa ʃɛzə də bebe lə ʒœnə dydlɛi ki bɾaje də tutə la fɔɾsə dəse pumõ.,"əl səɲo tuɾslej kəntusəʒabə mentɾə tɾiabə lə kuɾbatə mez əβuriðə tə ləɾmaɾi pəɾ əna ə lə fɛjnə, i lə səɲoɾə tuɾslej no pəɾabə təksplika ʃəfəɾdəɾiəz mentɾə ʎiɣabə əl tudlej ə lə tɾonə",
ninguno Bjo la ɣɾan leʧuθa paɾda ke pasaβa Bolando poɾ la Bentana,okœ̃ dø nə ɾəmaɾka lə gɾo ibu o plymaʒə mɔɾdɔɾe ki vɔləta dəvɑ̃ la fənɛtɾə.,kap teʎz no əs pa fiksaɾ ən əl gɾan musɔl kə pa pəsa ələtəʒan tɾənkil ləmen pəɾ lə finestɾə,
"a las oʧo i meðja, el seɲoɾ ðuɾslej koxjo su maletin, Beso a la seɲoɾa ðuɾslej en la mexiʝa i tɾato ðe ðespeðiɾse ðe ðudlej kon un Beso, awnke no puðo, ʝa ke el niɲo tenia un Berinʧe i estaβa aroxando los θeɾeales kontɾa las paɾeðes","a ɥi œɾəz‿e dəmjə, mɾ dyɾslɛi pɾi sõn‿ ataʃe-kazə, depoza œ̃ b(e)ze syɾ la ʒuə də mɾ dyɾslɛiet‿ ɛsɛja dɑ̃bɾase dydlɛi, me sɑ̃ syke, kaɾ səlɥi-si etɛt‿ɑ̃ pɾwa a ynə pətitə kɾizə də kɔlɛɾe saplikɛt‿ a ʒəte kõtɾəle myɾ də la pjɛsə lə kõtəny də sõn‿ asjɛtə də seɾealə.","ə tos kwaɾs tə nɔw əl səɲo tuɾslej pa əɣəfa əl mələti, pa fe un pəto rapið ə lə səɲoɾə tuɾslej i pa intənta fe un pəto tə kumiað əl tudlej, pəɾɔ sensə sɔɾt, pəɾkɛ əl tudlej əstabə ən ple ətak tə rəβəkəɾiə, i ʎənsabə əls səɾealz ə lə pəɾɛt",
", tunante, ðixo entɾe ðjentes el seɲoɾ ðuɾslej mjentɾas salia ðe la kasa","—sakɾe pəti bɔnɔmə, glusa mɾ dyɾslɛiɑ̃ kitɑ̃ lam(e)zõ.","etz un timuniɛt, pa fe əl səɲo tuɾslej am un sumɾiwɾə əlz ʎabis, mentɾə suɾtiə tə kazə",
se metjo en su koʧe i se alexo ðel numeɾo kwatɾo,il mõta dɑ̃ sa vwatyɾe ɾəkyla lə lõ də laleə ki mənɛt‿ a sam(e)zõ.,ba puʒa əl kotʃə i pa fe maɾʃə ənreɾə pəɾ suɾti təl numəɾu kwatɾə təl kəre pɾibɛt,
"al ʝeɣaɾ a la eskina peɾθiβjo el pɾimeɾ indiθjo ðe ke suθeðia algo raɾo, un Gato estaβa miɾando um plano ðe la θjuðad",sə fyt‿ o kwɛ̃ də la ɾɥə kil ɾəmaɾka puɾ la pɾəmjɛɾə fwaz‿ œ̃ detaj ɛ̃sɔlitɛ: œ̃ ʃa ki lizɛt‿ ynə kaɾtə ɾutjɛɾə.,"no pa se fins kə pa əriβa ə lə kəntunaðə təl kəre kə pa pewɾə əl pɾime səɲal təlgunə kɔzə əstɾaɲə, un kat kə ʎəʒiə un mapə",
"duɾante un seɣundo, el seɲoɾ ðuɾslej no se ðjo kwenta ðe lo ke aβia Bisto, peɾo lweɣo Bolbjo la kaβeθa paɾa miɾaɾ otɾa Beθ","pɑ̃dɑ̃t‿ œ̃n‿ ɛ̃stɑ̃, mɾ dyɾslɛi nə kõpɾi pa tɾe bjɛ̃ sə kil vəne də vwaɾ. il tuɾna alɔɾ la tɛtə puɾ ɾəgaɾde ynə dœgzjɛmə fwa.","pəɾ un səgon, əl səɲo tuɾslej no pa əntendɾə əl kə əβiə pist, ʎəbɔɾs pa ʒiɾa əl kap tunə rəβulaðə pəɾ miɾa un altɾə kɔp",
"si aβia un Gato atiɣɾaðo en la eskina ðe pɾiβet ðɾajf, peɾo no Bjo ningum plano","il i ave bjɛ̃n‿ œ̃ ʃa tigɾe, asiz‿ o kwɛ̃ də pɾive dɾivə, me pa la mwɛ̃dɾə tɾasə də kaɾtə ɾutjɛɾə.","i əβiə un kat tiɣɾað immɔβil ə lə kəntunaðə təl kəre pɾibɛt, pəɾɔ no si pɛjə kab mapə",
