español,francés,catalán,inglés
"El señor y la señora Dursley, que vivían en el número 4 de Privet Drive, estaban orgullosos de decir que eran muy normales, afortunadamente.","Mr et Mrs Dursley, qui habitaient au 4, Privet Drive, avaient toujours affirmé avec la plus grande fierté qu'ils étaient parfaitement normaux, merci pour eux.","El senyor i la senyora Dursley, del carrer Privet número quatre, estaven molt orgullosos de poder dir que eren gent perfectament normal, gràcies a Déu.","Mr. and Mrs. Dursley, of number four, Privet Drive, were proud to say that they were perfectly normal, thank you very much."
"Eran las últimas personas que se esperaría encontrar relacionadas con algo extraño o misterioso, porque no estaban para tales tonterías.",Jamais quiconque n'aurait imaginé qu'ils puissent se trouver impliqués dans quoi que ce soit d'étrange ou de mystérieux. Ils n'avaient pas de temps à perdre avec des sornettes.,"Eren les últimes persones que un esperaria veure ficades en res d’estrany o misteriós, simplement perquè no suportaven les ximpleries.","They were the last people you’d expect to be involved in anything strange or mysterious, because they just didn’t hold with such nonsense."
"El señor Dursley era el director de una empresa llamada Grunnings, que fabricaba taladros.","Mr Dursley dirigeait la Grunnings, une entreprise qui fabriquait des perceuses.","El senyor Dursley era director d’una fàbrica anomenada Grunnings, que feia broques.","Mr. Dursley was the director of a firm called Grunnings, which made drills."
"Era un hombre corpulento y rollizo, casi sin cuello, aunque con un bigote inmenso.","C'était un homme grand et massif, qui n'avait pratiquement pas de cou, mais possédait en revanche une moustache de belle taille.","Era un home gros i fort que gairebé no tenia coll, però que lluïa un bigoti enorme.","He was a big, beefy man with hardly any neck, although he did have a very large mustache."
"La señora Dursley era delgada, rubia y tenía un cuello casi el doble de largo de lo habitual, lo que le resultaba muy útil, ya que pasaba la mayor parte del tiempo estirándolo por encima de la valla de los jardines para espiar a sus vecinos.","Mrs Dursley, quant à elle, était mince et blonde et disposait d'un cou deux fois plus long que la moyenne, ce qui lui était fort utile pour espionner ses voisins en regardant par-dessus les clôtures des jardins.","La senyora Dursley era prima, rossa, i si fa no fa tenia el coll el doble de llarg del que és habitual, la qual cosa li resultava molt pràctica a l’hora de passar-se el dia espiant els veïns per sobre de les tanques.","Mrs. Dursley was thin and blonde and had nearly twice the usual amount of neck, which came in very useful as she spent so much of her time craning over garden fences, spying on the neighbors."
"Los Dursley tenían un hijo pequeño llamado Dudley, y para ellos no había un niño mejor que él.",Les Dursley avaient un petit garçon prénommé Dudley et c'était à leurs yeux le plus bel enfant du monde.,"Els Dursley tenien un nen petit que es deia Dudley, i que, segons ells, era el nen més encantador del món.",The Dursley s had a small son called Dudley and in their opinion there was no finer boy anywhere.
"Los Dursley tenían todo lo que querían, pero también tenían un secreto, y su mayor temor era que lo descubriesen: no habrían soportado que se supiera lo de los Potter.","Les Dursley avaient tout ce qu'ils voulaient. La seule chose indésirable qu'ils possédaient, c'était un secret dont ils craignaient plus que tout qu'on le découvre un jour. Si jamais quiconque venait à entendre parler des Potter, ils étaient convaincus qu'ils ne s'en remettraient pas.","Els Dursley tenien tot el que desitjaven, però a més també tenien un secret, i el que els feia més por era que algú el descobrís. Creien que no podrien suportar que algú s’assabentés de l’existència dels Potter.","The Dursleys had everything they wanted, but they also had a secret, and their greatest fear was that somebody would discover it. They didn’t think they could bear it if anyone found out about the Potters."
"La señora Potter era hermana de la señora Dursley, pero no se veían desde hacía años; tanto era así que la señora Dursley fingía que no tenía hermana, porque su hermana y su marido, un completo inútil, eran lo más opuesto a los Dursley que se pudiera imaginar.","Mrs Potter était la soeur de Mrs Dursley, mais toutes deux ne s'étaient plus revues depuis des années. En fait, Mrs Dursley faisait comme si elle était fille unique, car sa soeur et son bon à rien de mari étaient aussi éloignés que possible de tout ce qui faisait un Dursley.","La senyora Potter era germana de la senyora Dursley, però no es veien des de feia anys; de fet, la senyora Dursley feia veure que no tenia germana, perquè la seva germana i l’inútil del seu marit eren ben diferents dels Dursley.","Mrs. Potter was Mrs. Dursley’s sister, but they hadn’t met for several years; in fact, Mrs. Dursley pretended she didn’t have a sister, because her sister and her good-for-nothing husband were as un Dursleyish as it was possible to be."
Los Dursley se estremecían al pensar qué dirían los vecinos si los Potter apareciesen por la acera.,Les Dursley tremblaient d'épouvante à la pensée de ce que diraient les voisins si par malheur les Potter se montraient dans leur rue.,Els Dursley tremolaven només de pensar què dirien els veïns si els Potter anessin un dia a casa seva.,The Dursleys shuddered to think what the neighbors would say if the Potters arrived in the street.
"Sabían que los Potter también tenían un hijo pequeño, pero nunca lo habían visto.","Ils savaient que les Potter, eux aussi, avaient un petit garçon, mais ils ne l'avaient jamais vu.","Els Dursley sabien que els Potter també tenien un nen petit, però no l’havien vist mai.","The Dursleys knew that the Potters had a small son, too, but they had never even seen him."
El niño era otra buena razón para mantener alejados a los Potter: no querían que Dudley se juntara con un niño como aquél.,Son existence constituait une raison supplémentaire de tenir les Potter à distance: il n'était pas question que le petit Dudley se mette à fréquenter un enfant comme celui-là.,Aquest nen era una altra bona raó per mantenir-se allunyats dels Potter: no volien que el Dudley es fes amb un nen com aquell.,This boy was another good reason for keeping the Potters away; they didn’t want Dudley mixing with a child like that.
"Nuestra historia comienza cuando el señor y la señora Dursley se despertaron un martes, con un cielo cubierto de nubes grises que amenazaban tormenta. Pero nada había en aquel nublado cielo que sugiriera los acontecimientos extraños y misteriosos que poco después tendrían lugar en toda la región.","Lorsque Mr et Mrs Dursley s'éveillèrent, au matin du mardi où commence cette histoire, il faisait gris et triste et rien dans le ciel nuageux ne laissait prévoir que des choses étranges et mystérieuses allaient bientôt se produire dans tout le pays.","Quan el senyor i la senyora Dursley es van aixecar el dimarts gris i trist en què comença la nostra història, no hi havia res al cel ennuvolat que pogués fer pensar que molt aviat succeirien coses estranyes i misterioses per tot el país.","When Mr. and Mrs. Dursley woke up on the dull, gray Tuesday our story starts, there was nothing about the cloudy sky outside to suggest that strange and mysterious things would soon be happening all over the country."
"El señor Dursley canturreaba mientras se ponía su corbata más sosa para ir al trabajo, y la señora Dursley parloteaba alegremente mientras instalaba al ruidoso Dudley en la silla alta.",Mr Dursley fredonnait un air en nouant sa cravate la plus sinistre pour aller travailler et Mrs Dursley racontait d'un ton badin les derniers potins du quartier en s'efforçant d'installer sur sa chaise de bébé le jeune Dudley qui braillait de toute la force de ses poumons.,"El senyor Dursley cantussejava mentre triava la corbata més avorrida de l’armari per anar a la feina, i la senyora Dursley no parava d’explicar xafarderies mentre lligava el Dudley a la trona.","Mr. Dursley hummed as he picked out his most boring tie for work, and Mrs. Dursley gossiped away happily as she wrestled a screaming Dudley into his high chair."
Ninguno vio la gran lechuza parda que pasaba volando por la ventana.,Aucun d'eux ne remarqua le gros hibou au plumage mordoré qui voleta devant la fenêtre.,Cap d’ells no es va fixar en el gran mussol que va passar aletejant tranquil-lament per la finestra.,"None of them noticed a large, tawny owl flutter past the window."
"A las ocho y media, el señor Dursley cogió su maletín, besó a la señora Dursley en la mejilla y trató de despedirse de Dudley con un beso, aunque no pudo, ya que el niño tenía un berrinche y estaba arrojando los cereales contra las paredes.","A huit heures et demie, Mr Dursley prit son attaché-case, déposa un baiser sur la joue de Mrs Dursley et essaya d'embrasser Dudley, mais sans succès, car celui-ci était en proie à une petite crise de colère et s'appliquait à jeter contre les murs de la pièce le contenu de son assiette de céréales.","A dos quarts de nou el senyor Dursley va agafar el maletí, va fer un petó ràpid a la senyora Dursley i va intentar fer un petó de comiat al Dudley, però sense sort, perquè el Dudley estava en ple atac de rebequeria, i llançava els cereals a la paret.",
"«Tunante», dijo entre dientes el señor Dursley mientras salía de la casa.","—Sacré petit bonhomme, gloussa Mr Dursley en quittant la maison.","«Ets un dimoniet!», va fer el senyor Dursley amb un somriure als llavis, mentre sortia de casa.",
Se metió en su coche y se alejó del número 4.,Il monta dans sa voiture et recula le long de l'allée qui menait à sa maison.,Va pujar al cotxe i va fer marxa enrere per sortir del número quatre del carrer Privet.,
Al llegar a la esquina percibió el primer indicio de que sucedía algo raro: un gato estaba mirando un plano de la ciudad.,Ce fut au coin de la rue qu'il remarqua pour la première fois un détail insolite: un chat qui lisait une carte routière.,No va ser fins que va arribar a la cantonada del carrer que va veure el primer senyal d’alguna cosa estranya: un gat que llegia un mapa.,
